이름,카테고리,이미지URL,1회제공량g,칼로리,탄수화물,단백질,지방
김치찌개,한식,https://commons.wikimedia.org/wiki/Special:FilePath/Gimchi-jjigae.jpg,450,320,18,24,16
비빔밥,한식,https://commons.wikimedia.org/wiki/Special:FilePath/Korean%20Bibimbap.jpg,500,560,82,20,14
불고기,한식,https://commons.wikimedia.org/wiki/Special:FilePath/Bulgogi.JPG,300,420,22,35,18
짜장면,중식,https://commons.wikimedia.org/wiki/Special:FilePath/Jajangmyeon.jpg,650,780,112,23,22
탕수육,중식,https://commons.wikimedia.org/wiki/Special:FilePath/Tangsuyuk%201.jpg,300,690,72,28,34
초밥,일식,https://commons.wikimedia.org/wiki/Special:FilePath/Sushi%20platter.jpg,260,410,68,22,8
라멘,일식,https://commons.wikimedia.org/wiki/Special:FilePath/Bowl%20of%20ramen.jpg,550,610,78,26,18
파스타,양식,https://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti%20al%20Pomodoro.JPG,420,720,96,24,24
스테이크,양식,https://commons.wikimedia.org/wiki/Special:FilePath/Steak%20%281%29.jpg,280,640,10,52,42
떡볶이,기타,https://commons.wikimedia.org/wiki/Special:FilePath/Tteokbokki.JPG,350,520,96,10,9
